name,career,tech,language,social_impact,party,religion,sports,networking,arts,music,time_low,hands_on,outdoor,international,beginner_friendly,competitive,financial_cost,event_frequency,leadership_opportunities,group_size,description,next_event_title,next_event_date,next_event_time,next_event_location,next_event_url,next_event_is_open,event_source_type
Verkehrte Welt e.V.,1,1,both,1,0,0,0,1,0,0,0,1,0,1,1,0,0,medium,1,medium,"Ein studentischer Verein verkehrsbegeisterter TUD-Studierender, der internationale Vernetzung im Verkehrsbereich durch das jährliche Treffen europäischer Verkehrsstudierender organisiert und fördert.",,,,,,,
Volt Hochschulgruppe Dresden,1,0,german,1,1,0,0,1,0,0,1,0,0,1,1,1,0,medium,1,small,"Politisch engagierte Hochschulgruppe an der TU Dresden, die als Studierendennetzwerk der paneuropäischen Partei Volt für proeuropäische, progressive Hochschul- und Kommunalpolitik sowie demokratische Teilhabe wirbt.",,,,,,,
YETI Dresden,1,1,english,1,0,0,0,1,0,0,0,1,0,1,0,1,0,high,1,medium,"Ein 18-monatiges Entrepreneurship-Programm in Dresden, das Studierende durch Training, Mentoring und Networking zu unternehmerischen Vorbildern in Tech und Innovation entwickelt.",,,,,,,
altBau e.V. - Alumniverein Bauingenieurwesen TU Dresden,1,1,german,1,1,0,0,1,0,0,0,1,0,0,1,0,0,medium,1,medium,"Alumniverein der Fakultät Bauingenieurwesen zur Vernetzung von Studierenden, Absolvent:innen und Unternehmen durch Absolventenball, Firmenkontaktmesse und weitere gemeinsame Veranstaltungen.",Save the Date – bauMarkt 2026,2026-04-28,EMPTY,Beyer-Bau, TU Dresden,https://altbau-tud.de,1
bonding-studierendeninitiative e.V. (HG Dresden),1,0,both,0,0,0,0,1,0,0,0,1,0,1,1,0,0,high,1,medium,"Studentische Initiative, die an der TU Dresden ehrenamtlich kostenlose Firmenkontaktmessen, Exkursionen und Karriereevents organisiert, um Studierende mit Unternehmen zu vernetzen und Praxiseinblicke zu bieten.",,,,,,,
btS – Life Sciences Studierendeninitiative e.V.,1,0,both,1,0,0,0,1,0,0,0,1,0,1,1,0,0,medium,1,large,"Eine deutschlandweite, gemeinnützige Studierendeninitiative der Life Sciences, die mit überwiegend kostenlosen Karriere- und Weiterbildungsveranstaltungen Orientierung, Vernetzung und Praxisprojekte für Studierende und Promovierende bietet.",btS Life Sciences x IBA Lifesciences – Company Excursion!,2026-01-12,16:00,EMPTY,https://tockify.com/lifesciencesstudierendeninitiative/detail/6/1736694000000,1,other
elbMUN e.V.,1,0,english,1,1,0,0,1,0,0,0,1,0,1,1,1,1,low,1,medium,"Studentische Initiative an der TU Dresden, die eine internationale Model-UN-Konferenz organisiert, bei der Studierende auf Englisch über globale politische Themen debattieren, Diplomatie kennenlernen und sich mit politisch Interessierten vernetzen.",elbMUN Conference 2025,2025-05-15,EMPTY,Dresden,https://www.elbmun.org,1,website
jDPG Dresden,1,1,german,0,1,0,0,1,0,0,0,0,0,1,1,0,0,medium,1,small,"Eine kleine Regionalgruppe der jungen Deutschen Physikalischen Gesellschaft an der TU Dresden, die Vorträge, Exkursionen, Meet-your-Prof-Formate und Vernetzungsveranstaltungen für physikinteressierte Studierende organisiert.",DPG-Frühjahrstagung der Sektion Kondensierte Materie (mit jDPG-Angeboten),2026-03-08,08:00,Technische Universität Dresden,https://www.dpg-physik.de/veranstaltungen/2026/dpg-fruehjahrstagung-dresden,1,website
junge GEW,1,0,german,1,0,0,0,1,0,0,1,0,0,0,1,0,0,medium,1,small,"Hochschulgruppe der Jugendorganisation der Bildungsgewerkschaft GEW an der TU Dresden, die sich mit gewerkschaftlicher Hochschulpolitik, Arbeitsbedingungen in Studium und Wissenschaft sowie Bildungsgerechtigkeit beschäftigt.",,,,,,,
kritmed*,0,0,german,1,0,0,0,1,0,0,0,1,0,0,1,0,0,medium,1,medium,"Eine politisch engagierte Hochschulgruppe von Medizinstudierenden, die sich kritisch mit medizin- und gesundheitspolitischen Themen, Diskriminierung und diversitätssensibler Lehre auseinandersetzt.",,,,,,,
